explanations,type,optional,name,block_order,item_order,showif,label,choice1,choice2
,note,,prompt_po35,po3,1,condition == 5,"Steven has done the following: 
- ignores his personal hygiene and mental health in order to devote more time to his career
- bumps into someone on the street while in a rush but does not say ""excuse me""
- walks away while his conversation partner is still speaking

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,po3sa5,po3,2,condition == 5,...looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3ca5,po3,2,condition == 5,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3li5,po3,2,condition == 5,...tells his fiance that she has to switch to his political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3fa5,po3,2,condition == 5,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3po5,po3,2,condition == 5,...goes to a birthday party for his friend but does not bring a gift?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3lo5,po3,2,condition == 5,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,po3au5,po3,2,condition == 5,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,submit,,p1_submit_5,,,,Next Question,,
,note,,prompt_pd35,pd3,1,condition == 5,"Maria has done the following: 
- pretends to be seriously fouled by an opposing player during a local game
- makes fun of her brother for getting dumped by his girlfriend
- celebrates with the opposing team's players who just won the game

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3lo5,pd3,2,condition == 5,...cheats on her spouse with an ex-lover; the spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3po5,pd3,2,condition == 5,...plays music through her headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3fa5,pd3,2,condition == 5,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3sa5,pd3,2,condition == 5,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3ca5,pd3,2,condition == 5,...laughs when she realizes her friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3li5,pd3,2,condition == 5,...tells her fiance that he has to switch to her political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3au5,pd3,2,condition == 5,...tries to undermine all of her boss's ideas in front of others?,Very Unlikely,Very Likely
,submit,,p2_submit_5,,,,Next Question,,
,note,,prompt_sa35,sa3,1,condition == 5,"James has done the following: 
- searches through the trash to find women's discarded underwear
- offers to have oral sex with anyone in the bar while drunk
- writes erotic poetry about his pet cat

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,sa3ca5,sa3,2,condition == 5,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3po5,sa3,2,condition == 5,...walks away while his conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3au5,sa3,2,condition == 5,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3li5,sa3,2,condition == 5,...pressures his daughter to become a famous evening news anchor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3sa5,sa3,2,condition == 5,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3fa5,sa3,2,condition == 5,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3lo5,sa3,2,condition == 5,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,submit,,p3_submit_5,,,,Next Question,,
,note,,prompt_li35,li3,1,condition == 5,"Jennifer has done the following: 
- is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings
- tells her fiance that he has to switch to her political party
- is the leader of a club and bans members from wearing bright colors during club meetings

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Jennifer:",,
,"rating_button 1,7,1",,li3fa5,li3,2,condition == 5,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3sa5,li3,2,condition == 5,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3li5,li3,2,condition == 5,...imposes a curfew on all members of her immediate family?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3au5,li3,2,condition == 5,...tries to undermine all of her boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3po5,li3,2,condition == 5,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3lo5,li3,2,condition == 5,...celebrates with the opposing team's players who just won the game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3ca5,li3,2,condition == 5,...spanks her child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,submit,,p4_submit_5,,,,Next Question,,
,note,,attention_check_instructions_5,,,condition == 5,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_5,,,condition == 5,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_5,,,condition == 5,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_5,,,condition == 5,...tries to change the subject of conversation in the middle of his friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_5,,,condition == 5,...forces his daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_5,,,condition == 5,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_5,,,condition == 5,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_5,,,condition == 5,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,submit,,attention_submit_5,,,condition == 5,Next Question,,
,note,,prompt_ca36,ca3,1,condition == 6,"Steven has done the following: 
- shoots geese repeatedly with a pellet gun out in the woods
- tells a woman that her painting looks like it was done by children
- spanks his child with a spatula for getting bad grades in school

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,ca3po6,ca3,2,condition == 6,...walks away while his conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3ca6,ca3,2,condition == 6,...laughs when he realizes his friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3sa6,ca3,2,condition == 6,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3li6,ca3,2,condition == 6,...pressures his daughter to become a famous evening news anchor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3lo6,ca3,2,condition == 6,...jokes about the stupidity of people from his home country?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3au6,ca3,2,condition == 6,...disobeys his boss; nothing bad happens as a result of his disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3fa6,ca3,2,condition == 6,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,submit,,p1_submit_6,,,,Next Question,,
,note,,prompt_pd36,pd3,1,condition == 6,"Maria has done the following: 
- bumps into someone on the street while in a rush but does not say ""excuse me""
- cheats on her spouse with an ex-lover; the spouse does not find out about the infidelity
- talks loudly and interrupts the mayor's speech to the public

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3sa6,pd3,2,condition == 6,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3po6,pd3,2,condition == 6,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3lo6,pd3,2,condition == 6,...shares a secret that her best friend entrusted to her; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3li6,pd3,2,condition == 6,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3ca6,pd3,2,condition == 6,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3au6,pd3,2,condition == 6,...disobeys her boss; nothing bad happens as a result of her disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3fa6,pd3,2,condition == 6,...skips to the front of the line because her friend is an employee?,Very Unlikely,Very Likely
,submit,,p2_submit_6,,,,Next Question,,
,note,,prompt_sa36,sa3,1,condition == 6,"James has done the following: 
- looks at pornography in which an 18-year-old model has been digitally altered to look like she is 13
- marries his first cousin in an elaborate wedding
- writes erotic poetry about his pet cat

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,sa3sa6,sa3,2,condition == 6,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3po6,sa3,2,condition == 6,...eats a T-bone steak with his hands in a fancy restaurant?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3ca6,sa3,2,condition == 6,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3fa6,sa3,2,condition == 6,...bribes his landlord to be the first to get his apartment repainted?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3li6,sa3,2,condition == 6,...tells his fiance that she has to switch to his political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3lo6,sa3,2,condition == 6,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3au6,sa3,2,condition == 6,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,submit,,p3_submit_6,,,,Next Question,,
,note,,prompt_li36,li3,1,condition == 6,"Jennifer has done the following: 
- imposes a curfew on all members of her immediate family
- pressures her daughter to become a famous evening news anchor
- forces her daughter to enroll as a pre-med student in college

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Jennifer:",,
,"rating_button 1,7,1",,li3fa6,li3,2,condition == 6,...skips to the front of the line because her friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3sa6,li3,2,condition == 6,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3lo6,li3,2,condition == 6,"...gets a job in a foreign nation where her home country is viewed fairly negatively; in order to fit in among their coworkers, Jennifer makes critical comments about their home country, though Jennifer does not believe them?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3ca6,li3,2,condition == 6,...spanks her child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3au6,li3,2,condition == 6,...tries to undermine all of her boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3po6,li3,2,condition == 6,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3li6,li3,2,condition == 6,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,submit,,p4_submit_6,,,,Next Question,,
,note,,attention_check_instructions_6,,,condition == 6,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_6,,,condition == 6,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_6,,,condition == 6,...disobeys his boss; nothing bad happens as a result of his disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_6,,,condition == 6,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_6,,,condition == 6,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_6,,,condition == 6,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_6,,,condition == 6,"...hires his nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_6,,,condition == 6,...makes fun of his brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,submit,,attention_submit_6,,,condition == 6,Next Question,,
,note,,prompt_ca37,ca3,1,condition == 7,"Steven has done the following: 
- shoots geese repeatedly with a pellet gun out in the woods
- tells a boy that his older brother is much more attractive than him
- laughs when he realizes his friend's dad is a janitor

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,ca3sa7,ca3,2,condition == 7,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3ca7,ca3,2,condition == 7,...tells a woman that her painting looks like it was done by children?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3au7,ca3,2,condition == 7,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3fa7,ca3,2,condition == 7,"...hires his nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3po7,ca3,2,condition == 7,...plays music through his headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3lo7,ca3,2,condition == 7,...shares a secret that his best friend entrusted to him; the secret is not damaging or embarrassing in any way and the friend never finds out that their secret has been shared?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3li7,ca3,2,condition == 7,...is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings?,Very Unlikely,Very Likely
,submit,,p1_submit_7,,,,Next Question,,
,note,,prompt_pd37,pd3,1,condition == 7,"Maria has done the following: 
- bumps into someone on the street while in a rush but does not say ""excuse me""
- pretends to be seriously fouled by an opposing player during a local game
- sends out an email to other employees at her company, calling their company president an ""idiot""

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3po7,pd3,2,condition == 7,...goes to a birthday party for her friend but does not bring a gift?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3ca7,pd3,2,condition == 7,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3lo7,pd3,2,condition == 7,...celebrates with the opposing team's players who just won the game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3sa7,pd3,2,condition == 7,...marries her first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3fa7,pd3,2,condition == 7,...skips to the front of the line because her friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3au7,pd3,2,condition == 7,...disobeys her boss; nothing bad happens as a result of her disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3li7,pd3,2,condition == 7,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,submit,,p2_submit_7,,,,Next Question,,
,note,,prompt_sa37,sa3,1,condition == 7,"James has done the following: 
- offers to have oral sex with anyone in the bar while drunk
- takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage
- writes erotic poetry about his pet cat

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,sa3lo7,sa3,2,condition == 7,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3sa7,sa3,2,condition == 7,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3li7,sa3,2,condition == 7,...forces his daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3ca7,sa3,2,condition == 7,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3au7,sa3,2,condition == 7,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3po7,sa3,2,condition == 7,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3fa7,sa3,2,condition == 7,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,submit,,p3_submit_7,,,,Next Question,,
,note,,prompt_li37,li3,1,condition == 7,"Jennifer has done the following: 
- pressures her daughter to become a famous evening news anchor
- is the leader of a club and bans members from wearing bright colors during club meetings
- forces her daughter to enroll as a pre-med student in college

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Jennifer:",,
,"rating_button 1,7,1",,li3sa7,li3,2,condition == 7,...marries her first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3ca7,li3,2,condition == 7,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3fa7,li3,2,condition == 7,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3au7,li3,2,condition == 7,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3po7,li3,2,condition == 7,...ignores her personal hygiene and mental health in order to devote more time to her career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3li7,li3,2,condition == 7,...tells her romantic partner that he must convert to her religion?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3lo7,li3,2,condition == 7,"...gets a job in a foreign nation where her home country is viewed fairly negatively; in order to fit in among their coworkers, Jennifer makes critical comments about their home country, though Jennifer does not believe them?",Very Unlikely,Very Likely
,submit,,p4_submit_7,,,,Next Question,,
,note,,attention_check_instructions_7,,,condition == 7,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_7,,,condition == 7,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_7,,,condition == 7,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_7,,,condition == 7,...imposes a curfew on all members of his immediate family?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_7,,,condition == 7,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_7,,,condition == 7,...disobeys his boss; nothing bad happens as a result of his disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_7,,,condition == 7,"...requires all his employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_7,,,condition == 7,"...sends out an email to other employees at his company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,submit,,attention_submit_7,,,condition == 7,Next Question,,
,note,,prompt_ca38,ca3,1,condition == 8,"Steven has done the following: 
- tells a woman that her painting looks like it was done by children
- tells a boy that his older brother is much more attractive than him
- makes fun of his brother for getting dumped by his girlfriend

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,ca3au8,ca3,2,condition == 8,...tries to undermine all of his boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3li8,ca3,2,condition == 8,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3ca8,ca3,2,condition == 8,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3po8,ca3,2,condition == 8,...walks away while his conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3fa8,ca3,2,condition == 8,...pretends to be seriously fouled by an opposing player during a local game?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3sa8,ca3,2,condition == 8,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,ca3lo8,ca3,2,condition == 8,"...gets a job in a foreign nation where his home country is viewed fairly negatively; in order to fit in among their coworkers, Steven makes critical comments about their home country, though Steven does not believe them?",Very Unlikely,Very Likely
,submit,,p1_submit_8,,,,Next Question,,
,note,,prompt_pd38,pd3,1,condition == 8,"Maria has done the following: 
- plays music through her headphones so loudly that other passengers can hear it while on a bus
- has a long and loud conversation with a group of friends during a religious service
- leaves her family business to go work for their main competitor

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3ca8,pd3,2,condition == 8,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3au8,pd3,2,condition == 8,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3fa8,pd3,2,condition == 8,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3sa8,pd3,2,condition == 8,...writes erotic poetry about her pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3lo8,pd3,2,condition == 8,...cheats on her spouse with an ex-lover; the spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3po8,pd3,2,condition == 8,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3li8,pd3,2,condition == 8,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,submit,,p2_submit_8,,,,Next Question,,
,note,,prompt_sa38,sa3,1,condition == 8,"James has done the following: 
- takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage
- eats the flesh of a deceased relative as part of a group funeral rite
- writes erotic poetry about his pet cat

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,sa3po8,sa3,2,condition == 8,...tries to change the subject of conversation in the middle of his friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3sa8,sa3,2,condition == 8,...offers to have oral sex with anyone in the bar while drunk?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3fa8,sa3,2,condition == 8,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3lo8,sa3,2,condition == 8,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3li8,sa3,2,condition == 8,...tells his fiance that she has to switch to his political party?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3ca8,sa3,2,condition == 8,...makes fun of his brother for getting dumped by his girlfriend?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa3au8,sa3,2,condition == 8,"...sends out an email to other employees at his company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,submit,,p3_submit_8,,,,Next Question,,
,note,,prompt_li38,li3,1,condition == 8,"Jennifer has done the following: 
- is the leader of a club and tries to ban the wearing of hooded sweatshirts to club meetings
- is the leader of a club and bans members from wearing bright colors during club meetings
- forces her daughter to enroll as a pre-med student in college

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Jennifer:",,
,"rating_button 1,7,1",,li3fa8,li3,2,condition == 8,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3po8,li3,2,condition == 8,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3ca8,li3,2,condition == 8,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3sa8,li3,2,condition == 8,...searches through the trash to find women's discarded underwear?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3au8,li3,2,condition == 8,"...takes her father's car out after curfew, against his wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3li8,li3,2,condition == 8,...imposes a curfew on all members of her immediate family?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li3lo8,li3,2,condition == 8,...cheats on her spouse with an ex-lover; the spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,submit,,p4_submit_8,,,,Next Question,,
,note,,attention_check_instructions_8,,,condition == 8,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_8,,,condition == 8,"...sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_8,,,condition == 8,...eats the flesh of a deceased relative as part of a group funeral rite?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_8,,,condition == 8,...tries to change the subject of conversation in the middle of his friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_8,,,condition == 8,"...requires all his employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_8,,,condition == 8,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_8,,,condition == 8,...tells a woman that her painting looks like it was done by children?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_8,,,condition == 8,...eats a T-bone steak with his hands in a fancy restaurant?,Very Unlikely,Very Likely
,submit,,attention_submit_8,,,condition == 8,Next Question,,
,note,,prompt_fa39,fa3,1,condition == 9,"Steven has done the following: 
- takes a shortcut on the course during the marathon in order to win
- requires all his employees to split their bonuses evenly, even though some earn larger bonuses than others
- hires his nephew for a job, instead of a more qualified applicant

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,fa3fa9,fa3,2,condition == 9,...skips to the front of the line because his friend is an employee?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3ca9,fa3,2,condition == 9,...tells a boy that his older brother is much more attractive than him?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3po9,fa3,2,condition == 9,...tries to change the subject of conversation in the middle of his friend's sentence?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3li9,fa3,2,condition == 9,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3au9,fa3,2,condition == 9,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3sa9,fa3,2,condition == 9,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,fa3lo9,fa3,2,condition == 9,...jokes about the stupidity of people from his home country?,Very Unlikely,Very Likely
,submit,,p1_submit_9,,,,Next Question,,
,note,,prompt_pd39,pd3,1,condition == 9,"Maria has done the following: 
- eats a T-bone steak with her hands in a fancy restaurant
- has a long and loud conversation with a group of friends during a religious service
- sells government secrets from her nation to another country; the information is classified, though the sale will not have any negative consequences for people in their home nation

Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,pd3po9,pd3,2,condition == 9,...ignores her personal hygiene and mental health in order to devote more time to her career?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pd3ca9,pd3,2,condition == 9,...is driving along an empty road and sees a man who is clearly injured; she does not stop to help him?,Very Unlikely,Very Likely
